Parameter,Value,RMSE,R²
n_estimators,50,1091.7409116604088,0.8501797648909213
n_estimators,100,1085.5401626951468,0.8518767965748418
n_estimators,150,1084.268339432267,0.8522236767459186
n_estimators,200,1083.3428777973572,0.8524758337949091
n_estimators,300,1084.0742762308698,0.8522765702574928
max_depth,5,1369.891230420809,0.7641132891758244
max_depth,10,1074.0704655672998,0.854990367117775
max_depth,15,1084.326343849667,0.8522078653300522
max_depth,20,1084.7269366728121,0.8520986446972931
max_depth,25,1086.407542612708,0.8516399920313302
max_depth,None,1085.540162695147,0.8518767965748418
min_samples_split,2,1085.5401626951468,0.8518767965748418
min_samples_split,5,1081.7352166959986,0.8529133552689285
min_samples_split,10,1074.8308879560484,0.8547849660588362
min_samples_split,15,1071.395381956294,0.8557117905926526
min_samples_split,20,1071.588683170392,0.855659720922419
min_samples_leaf,1,1085.5401626951468,0.8518767965748418
min_samples_leaf,2,1076.6909783910905,0.8542819160887357
min_samples_leaf,4,1066.0566648448566,0.8571461718208784
min_samples_leaf,6,1059.782688527918,0.8588226759257791
min_samples_leaf,8,1060.647493150295,0.8585921746766683
